pid,post_ts,pre_ts
13088,201905,201807
4131,201810,201806
5926,201904,201612
2201,201812,201805
29599,201809,201610
10176,201903,201806
3632,201905,201802
908,201904,201605
1405,201905,201706
1190,201904,201607
7062,201903,201603
57,201905,201805
1562,201904,201901
29364,201901,201805
2848,201904,201604
32819,201903,201703
6451,201905,201805
1041,201905,201804
4925,201809,201708
32515,201903,201805
32894,201905,201707
7092,201904,201703
6908,201905,201805
2598,201903,201802
11606,201904,201801
11275,201904,201802
1711,201904,201804
9137,201904,201704
2039,201904,201802
9769,201903,201611
4324,201903,201805
3797,201905,201804
12842,201809,201806
33747,201812,201607
8905,201902,201804
13555,201811,201711
111,201905,201805
1516,201905,201801
2861,201904,201806
595,201904,201801
7832,201905,201607
3649,201905,201605
12692,201903,201805
621,201904,201604
16133,201905,201805
13573,201905,201707
7007,201904,201806
29102,201903,201806
10477,201905,201707
5,201808,201806
27740,201904,201606
9901,201903,201603
1572,201904,201804
7247,201905,201806
28802,201905,201901
4259,201903,201601
28510,201905,201706
5896,201812,201805
12953,201905,201805
933,201904,201710
278,201808,201603
1770,201904,201901
7806,201902,201801
24414,201808,201807
13416,201905,201903
33182,201905,201705
33721,201905,201602
23912,201905,201807
7712,201904,201709
16090,201808,201708
34290,201806,201704
106,201905,201809
34626,201903,201804
6682,201905,201806
29714,201905,201806
7544,201905,201805
6613,201903,201804
34387,201903,201611
13254,201808,201712
7316,201811,201805
6301,201905,201705
421,201905,201805
25157,201905,201804
32553,201905,201805
23407,201808,201801
34159,201903,201706
18840,201805,201805
772,201903,201705
10479,201810,201602
4155,201905,201805
12940,201905,201805
14784,201903,201701
6684,201905,201804
6664,201904,201805
15860,201903,201810
7742,201904,201805
1874,201805,201805
6867,201904,201707
2720,201904,201806
7645,201904,201710
7223,201905,201806
284,201905,201804
1977,201805,201805
15607,201807,201806
1548,201904,201705
6903,201905,201805
7664,201810,201710
7252,201812,201803
34146,201903,201709
6453,201810,201611
28684,201905,201805
26011,201904,201808
1767,201812,201612
10531,201904,201611
7174,201905,201805
719,201904,201612
14654,201808,201609
12388,201905,201805
2728,201903,201707
7756,201902,201707
7027,201903,201702
1910,201901,201806
671,201905,201804
29247,201810,201806
3771,201905,201601
22481,201905,201805
10142,201902,201707
172,201905,201805
4312,201905,201806
27843,201905,201706
3896,201905,201806
34114,201903,201811
17131,201905,201711
6533,201905,201812
1549,201904,201805
1446,201905,201803
7111,201905,201805
4091,201905,201803
334,201905,201710
1134,201902,201803
10413,201903,201804
1720,201905,201804
264,201904,201802
3813,201905,201805
1499,201905,201806
12928,201810,201806
1429,201905,201804
23250,201902,201612
13397,201905,201712
30604,201904,201806
7102,201903,201801
1219,201904,201703
5964,201903,201812
11266,201905,201612
23303,201901,201705
11872,201905,201806
31763,201905,201707
13376,201903,201901
31732,201904,201809
1698,201905,201805
1163,201905,201805
2026,201905,201806
13017,201903,201807
6534,201901,201707
4320,201807,201804
21757,201810,201806
32424,201905,201804
4135,201904,201806
27785,201903,201603
6730,201905,201711
7295,201905,201804
7201,201903,201707
7165,201904,201901
10587,201905,201808
5727,201904,201704
9,201905,201803
7795,201905,201702
1327,201810,201805
6886,201904,201804
2190,201904,201702
4361,201903,201805
32083,201905,201711
3013,201905,201801
18205,201904,201709
16954,201904,201703
2220,201903,201806
32793,201904,201711
7217,201901,201708
21946,201903,201708
16428,201904,201805
1788,201904,201808
1989,201810,201804
23418,201809,201707
22402,201905,201706
7096,201904,201706
30494,201905,201805
13530,201903,201806
7296,201905,201805
28474,201807,201801
1292,201905,201806
515,201905,201806
9663,201903,201709
12790,201904,201711
1351,201905,201804
7751,201904,201805
6891,201805,201701
28787,201809,201710
6978,201809,201804
14977,201905,201806
16028,201903,201803
12460,201905,201805
6849,201904,201804
13182,201905,201703
6426,201811,201801
432,201905,201805
10521,201812,201802
28571,201904,201808
3325,201904,201903
34040,201905,201706
33860,201905,201601
1377,201903,201605
29189,201905,201806
4410,201905,201805
7642,201905,201603
6671,201903,201706
24728,201903,201805
7657,201904,201604
1101,201903,201802
94,201806,201806
15751,201904,201606
4809,201904,201805
3820,201903,201806
6952,201905,201606
2239,201905,201805
13505,201904,201806
959,201812,201802
3276,201904,201611
1018,201806,201806
3606,201905,201903
551,201901,201804
3246,201905,201712
10251,201902,201706
27414,201805,201805
1355,201905,201607
17827,201805,201805
2131,201809,201805
7757,201810,201805
6593,201904,201701
27596,201903,201701
16737,201811,201804
1866,201904,201702
2204,201905,201802
2559,201904,201706
23001,201904,201701
5071,201903,201804
7134,201903,201805
1714,201808,201706
6560,201904,201805
32638,201905,201812
11102,201905,201709
19982,201905,201802
7444,201904,201805
6784,201903,201805
348,201905,201803
7679,201902,201801
4022,201905,201805
1224,201903,201804
6527,201904,201708
30811,201903,201805
13534,201903,201609
63,201905,201701
6691,201905,201807
9564,201903,201612
13075,201808,201805
181,201905,201601
11818,201904,201601
7611,201905,201805
23425,201901,201801
21880,201810,201806
147,201905,201901
34360,201905,201707
6672,201905,201801
4071,201905,201807
21044,201904,201607
12865,201905,201707
11069,201806,201603
30606,201905,201803
4066,201904,201805
8172,201904,201709
11039,201905,201805
13382,201904,201805
9339,201905,201806
778,201905,201806
6548,201903,201805
758,201905,201806
29164,201901,201805
3351,201905,201707
7551,201902,201805
7491,201905,201806
4307,201905,201802
19800,201904,201611
15009,201902,201805
19438,201904,201610
12696,201809,201702
15089,201905,201805
12533,201903,201607
6082,201904,201805
208,201905,201803
16407,201903,201806
25872,201904,201806
6299,201901,201707
1393,201905,201805
6782,201812,201805
121,201905,201710
3602,201903,201709
7116,201811,201711
27879,201806,201806
30649,201905,201805
596,201905,201804
33118,201905,201601
1313,201904,201805
958,201905,201806
6872,201904,201805
8485,201904,201809
13389,201812,201805
1226,201905,201805
12822,201902,201712
2303,201905,201805
823,201905,201706
14779,201903,201708
20524,201903,201609
21713,201904,201705
18658,201905,201709
6487,201904,201802
6614,201905,201711
532,201905,201805
6026,201904,201809
233,201905,201804
31793,201903,201806
21320,201811,201804
10313,201903,201805
2846,201905,201808
9433,201904,201806
16169,201903,201804
7723,201904,201903
7275,201904,201706
1229,201901,201610
27175,201807,201805
1209,201905,201804
1051,201904,201704
1360,201904,201706
7782,201905,201805
7132,201902,201805
29614,201811,201802
16973,201812,201708
2045,201902,201710
854,201905,201805
2106,201903,201805
746,201905,201805
2028,201903,201806
14763,201901,201705
12629,201812,201807
7796,201903,201804
27047,201905,201704
30669,201904,201805
1747,201809,201801
17115,201904,201803
28805,201905,201805
12787,201805,201612
12746,201807,201806
27116,201904,201704
6735,201905,201803
7566,201905,201802
12909,201905,201805
7826,201812,201709
1904,201904,201804
2995,201904,201805
3911,201901,201806
2519,201904,201711
13211,201904,201701
13357,201903,201805
33855,201905,201806
28783,201905,201805
204,201905,201805
20224,201905,201604
655,201808,201709
19310,201809,201806
1019,201905,201601
3110,201811,201710
6545,201904,201901
251,201905,201806
8847,201904,201801
8913,201905,201807
7822,201903,201804
14893,201901,201704
9729,201904,201703
5088,201905,201805
10603,201805,201805
2235,201901,201805
7039,201903,201806
262,201811,201704
9329,201905,201803
7478,201904,201806
13583,201905,201801
2739,201904,201805
7418,201904,201810
7420,201905,201602
13363,201905,201705
427,201904,201808
2105,201805,201805
35062,201904,201805
4420,201904,201803
19469,201810,201608
9715,201904,201710
32463,201905,201805
7640,201903,201805
15881,201905,201805
2917,201905,201806
26593,201905,201809
13092,201903,201707
1916,201901,201701
23321,201905,201706
7639,201810,201706
28165,201904,201806
7525,201904,201705
3886,201905,201804
7221,201903,201808
168,201905,201709
6947,201904,201805
27409,201905,201803
898,201810,201806
7107,201905,201801
17006,201904,201710
12673,201903,201803
12985,201809,201804
2886,201905,201805
219,201905,201805
7013,201905,201806
13460,201905,201801
7659,201905,201705
11095,201903,201803
9364,201903,201807
4683,201903,201802
21941,201905,201806
24815,201812,201803
20884,201904,201806
1518,201904,201709
3916,201904,201804
851,201905,201604
27196,201905,201805
6463,201905,201802
6713,201903,201712
1738,201809,201612
7123,201806,201803
13216,201808,201711
679,201904,201804
547,201905,201801
917,201905,201802
28663,201902,201901
6942,201904,201801
4044,201901,201801
634,201905,201805
12756,201905,201711
656,201901,201712
9359,201904,201704
4308,201905,201806
1722,201805,201805
357,201905,201901
4400,201905,201805
18942,201905,201805
14187,201904,201711
3773,201905,201803
1387,201905,201712
9396,201810,201601
1307,201903,201804
15820,201904,201710
6215,201905,201806
12720,201904,201806
1378,201903,201802
1257,201905,201805
18819,201905,201801
12793,201904,201805
11610,201901,201710
11609,201812,201711
5209,201905,201804
24275,201903,201706
16922,201905,201805
1537,201903,201805
2048,201905,201806
13508,201808,201706
27084,201807,201805
17110,201904,201701
27269,201905,201711
3470,201905,201805
5480,201903,201805
34689,201903,201806
13260,201809,201706
14845,201808,201803
32922,201809,201803
12648,201904,201807
9147,201810,201805
13540,201905,201806
7484,201905,201806
1297,201903,201805
35063,201904,201805
48,201905,201608
15501,201903,201809
25335,201902,201710
14674,201903,201805
236,201901,201712
15017,201810,201805
23012,201904,201601
13314,201905,201809
3657,201901,201709
29415,201806,201806
6264,201905,201802
7141,201905,201806
2165,201905,201806
1191,201905,201805
6847,201905,201806
7235,201904,201711
5721,201905,201805
2152,201905,201805
9735,201905,201603
1084,201905,201709
27426,201904,201604
1478,201903,201806
7788,201905,201904
4360,201905,201805
7246,201905,201701
7465,201905,201801
5826,201812,201710
25027,201905,201803
7830,201905,201801
13461,201905,201710
2274,201905,201804
1695,201903,201708
9746,201810,201804
29747,201903,201805
317,201902,201804
7502,201905,201703
7155,201808,201708
16918,201806,201706
8324,201905,201803
25203,201905,201804
25098,201901,201806
2226,201905,201710
16989,201903,201709
21961,201807,201805
2198,201805,201603
18137,201904,201802
29694,201806,201802
2093,201903,201807
10288,201807,201805
33177,201904,201806
34882,201905,201805
7560,201807,201805
2255,201905,201805
9547,201905,201805
7139,201905,201805
146,201905,201804
19023,201905,201805
160,201903,201707
24417,201905,201803
34837,201905,201708
1925,201905,201805
6569,201812,201802
6806,201905,201804
6906,201905,201805
101,201904,201802
8430,201904,201706
6936,201904,201711
878,201905,201805
2206,201902,201712
748,201904,201802
7736,201809,201706
10138,201903,201804
33603,201905,201705
110,201905,201803
7088,201905,201805
5820,201905,201903
22779,201810,201806
7253,201901,201603
34540,201905,201809
3778,201905,201805
13355,201904,201608
1281,201806,201708
27486,201905,201606
12989,201905,201711
20105,201904,201804
12843,201904,201706
441,201905,201806
7044,201905,201803
13443,201904,201804
873,201905,201707
9678,201903,201806
21217,201808,201806
31096,201904,201709
173,201905,201805
1794,201905,201711
9772,201905,201808
1338,201904,201805
6505,201904,201710
6469,201905,201802
1326,201905,201711
6417,201905,201805
12721,201905,201805
1072,201904,201805
7158,201904,201804
18267,201904,201805
397,201904,201805
1373,201808,201805
6536,201905,201611
5914,201901,201712
882,201905,201806
5066,201905,201707
16101,201905,201805
18718,201809,201807
13577,201905,201806
7705,201806,201804
27666,201805,201805
7624,201905,201805
7798,201901,201805
12412,201905,201601
939,201903,201706
640,201904,201712
24523,201905,201803
13177,201904,201805
27406,201904,201806
5592,201808,201806
7565,201904,201806
33812,201812,201705
4115,201904,201711
15237,201905,201803
3212,201905,201706
28471,201905,201604
615,201903,201803
6935,201905,201703
24410,201806,201806
526,201905,201806
27994,201905,201805
32631,201807,201806
12807,201903,201705
1679,201905,201702
7523,201905,201803
9539,201904,201805
12968,201806,201804
26081,201905,201706
1225,201905,201805
574,201904,201805
1979,201903,201804
11028,201905,201904
1708,201904,201711
1235,201905,201805
13326,201902,201711
1566,201904,201806
7149,201905,201701
6717,201810,201706
32765,201807,201805
28147,201904,201808
6663,201904,201803
10125,201806,201806
942,201904,201804
433,201905,201804
412,201905,201805
7306,201806,201806
23370,201905,201806
32283,201905,201802
13377,201903,201805
7701,201811,201805
1744,201905,201801
3424,201808,201805
22708,201905,201805
26241,201905,201901
12806,201905,201703
20872,201904,201805
1423,201905,201806
12844,201905,201803
34670,201806,201806
935,201905,201805
34631,201904,201709
15183,201905,201904
7106,201810,201710
17094,201905,201606
7805,201905,201805
728,201808,201803
1858,201904,201801
1669,201904,201805
29733,201905,201805
6186,201905,201711
16114,201901,201804
1804,201903,201706
975,201905,201805
2457,201905,201703
14513,201904,201805
1173,201905,201801
30103,201812,201706
1494,201904,201712
31619,201903,201701
16281,201903,201801
12946,201904,201707
1322,201808,201806
1230,201904,201607
10970,201806,201706
16230,201810,201805
1593,201905,201706
981,201905,201805
9551,201903,201806
2071,201904,201709
2992,201902,201612
7279,201903,201802
2237,201808,201805
1162,201905,201805
11043,201905,201805
15040,201904,201803
26271,201904,201803
13561,201904,201808
1927,201905,201803
1088,201905,201803
2005,201905,201805
6620,201903,201806
7720,201807,201804
12569,201904,201711
6760,201905,201805
12434,201905,201804
31830,201903,201712
7630,201905,201711
34181,201905,201802
25409,201903,201806
2143,201901,201806
10568,201905,201706
16153,201903,201805
10055,201809,201611
220,201905,201805
1240,201806,201806
8022,201806,201805
331,201901,201712
6309,201905,201810
12835,201904,201803
32919,201905,201805
1250,201902,201708
8444,201904,201709
10255,201806,201804
12669,201811,201711
29829,201901,201706
10389,201905,201805
7412,201810,201704
27930,201905,201805
6476,201905,201805
7585,201905,201809
6509,201905,201802
8860,201905,201805
12901,201905,201801
27630,201905,201803
1328,201905,201805
1325,201808,201806
13183,201806,201806
34143,201905,201806
3463,201904,201804
6517,201904,201805
35011,201807,201703
34950,201905,201801
3980,201904,201703
27576,201905,201805
32929,201811,201707
1201,201901,201705
7711,201905,201803
13241,201905,201802
11354,201904,201709
13144,201905,201806
26338,201904,201805
3257,201904,201605
32802,201902,201808
5304,201905,201802
12579,201905,201806
420,201905,201701
6564,201903,201707
7568,201904,201612
16938,201903,201706
6416,201809,201802
20627,201904,201609
15916,201904,201712
34392,201812,201806
16168,201904,201805
3983,201905,201805
10331,201905,201706
32672,201905,201711
1003,201902,201710
11473,201905,201805
25862,201904,201806
694,201905,201805
1147,201904,201601
8122,201904,201709
3268,201905,201805
13329,201809,201803
1569,201905,201804
3229,201903,201710
659,201905,201608
81,201905,201802
6882,201806,201804
564,201808,201709
27673,201905,201803
12679,201903,201804
13535,201905,201605
7572,201905,201709
28550,201905,201805
589,201905,201809
1876,201903,201805
449,201905,201805
34488,201905,201808
7087,201905,201804
1263,201901,201803
6577,201903,201806
578,201905,201805
7765,201809,201804
1961,201905,201806
3362,201905,201805
8166,201904,201603
12900,201905,201710
62,201905,201805
16793,201904,201710
13451,201904,201711
10226,201905,201606
7702,201905,201711
12905,201905,201806
32674,201904,201806
27872,201904,201806
3597,201905,201610
7837,201905,201604
34844,201905,201805
13579,201904,201709
244,201901,201805
24310,201904,201705
7261,201812,201805
1948,201905,201801
27954,201810,201806
15728,201905,201802
9940,201809,201805
27330,201904,201709
1195,201903,201712
28692,201904,201804
385,201903,201608
1796,201905,201805
6495,201905,201804
16939,201905,201806
677,201905,201805
17478,201905,201602
6461,201905,201805
27875,201812,201803
11807,201904,201705
22127,201905,201708
6629,201903,201706
6646,201904,201710
837,201905,201804
3576,201905,201806
1460,201905,201808
7396,201806,201806
20454,201905,201806
33322,201904,201709
13312,201905,201712
1853,201811,201701
16318,201904,201901
6555,201903,201806
630,201905,201802
3563,201905,201805
34679,201905,201803
1100,201905,201801
32488,201904,201611
506,201905,201803
6719,201903,201805
7790,201903,201709
12627,201903,201609
10939,201904,201802
11945,201905,201806
704,201905,201705
1042,201905,201702
713,201904,201706
288,201903,201610
2548,201905,201805
22006,201905,201805
6690,201905,201809
201,201904,201803
7773,201904,201706
24530,201811,201706
1864,201811,201612
13143,201810,201806
742,201901,201706
7518,201905,201803
7024,201904,201903
6095,201905,201709
18619,201904,201711
1130,201905,201803
252,201904,201706
2689,201904,201804
8972,201905,201607
2927,201905,201805
6694,201905,201803
440,201905,201805
17549,201901,201711
34388,201905,201802
6464,201905,201808
7368,201903,201805
34610,201810,201611
3692,201903,201706
114,201905,201805
27421,201809,201804
1314,201905,201805
4408,201905,201804
3309,201905,201804
28586,201901,201708
7811,201905,201711
4389,201903,201804
693,201905,201708
5970,201901,201712
966,201903,201805
584,201904,201801
16788,201902,201709
17095,201905,201711
24,201904,201804
1642,201901,201601
1196,201904,201706
12979,201808,201803
3735,201904,201711
7445,201903,201805
2223,201905,201710
16197,201903,201704
15497,201810,201610
34981,201905,201805
4686,201904,201711
4117,201905,201801
7794,201905,201706
4889,201904,201706
9277,201901,201805
332,201905,201805
12684,201903,201712
9291,201905,201612
27917,201903,201706
2076,201905,201712
10312,201806,201806
9573,201811,201803
6860,201903,201707
95,201905,201805
7274,201905,201803
7086,201905,201601
889,201903,201706
416,201905,201809
22,201905,201710
1684,201905,201709
2075,201905,201805
34423,201808,201802
13016,201903,201612
11125,201905,201805
13408,201811,201706
7074,201905,201804
11491,201905,201804
1784,201905,201803
7774,201904,201706
12021,201901,201806
32885,201904,201703
24571,201904,201709
29545,201812,201806
11047,201808,201801
16015,201806,201805
12339,201806,201806
12831,201807,201709
1175,201904,201802
16288,201904,201803
11615,201810,201706
23387,201809,201604
21761,201905,201805
1077,201905,201804
499,201905,201704
5540,201905,201804
1522,201905,201804
13773,201905,201805
14846,201903,201704
6801,201904,201705
18484,201809,201610
1273,201904,201805
277,201905,201805
5545,201904,201804
1545,201903,201805
10956,201903,201804
15794,201905,201805
852,201905,201805
13194,201905,201803
396,201905,201805
16126,201904,201805
2224,201903,201710
3473,201903,201806
2266,201903,201805
13083,201904,201702
9691,201806,201806
14154,201903,201612
1266,201905,201801
676,201903,201806
16936,201904,201712
2064,201904,201710
31683,201905,201601
11205,201905,201806
12792,201902,201806
6831,201905,201804
6504,201903,201808
7791,201905,201805
13589,201903,201801
12682,201903,201711
13269,201905,201711
26083,201904,201706
15968,201905,201805
205,201905,201903
1372,201905,201806
13599,201904,201802
15033,201905,201709
12800,201904,201712
7305,201806,201806
5388,201905,201801
30,201905,201802
1665,201905,201805
28717,201905,201806
26588,201905,201806
6467,201904,201801
493,201905,201805
2012,201905,201805
2170,201807,201806
7446,201904,201803
7012,201905,201806
1991,201904,201801
6807,201809,201703
6794,201905,201706
7047,201904,201606
2368,201905,201805
6795,201905,201805
20639,201905,201805
7613,201904,201809
33481,201904,201804
7332,201905,201806
226,201903,201806
12183,201905,201805
7251,201904,201702
10043,201810,201805
20133,201905,201706
960,201904,201702
13284,201905,201805
394,201905,201803
4031,201903,201805
6744,201905,201603
13557,201905,201702
12210,201905,201805
10411,201904,201810
14453,201904,201802
7237,201905,201706
1337,201905,201803
7615,201905,201804
3840,201904,201710
13303,201903,201805
5741,201905,201806
1354,201904,201805
5344,201905,201806
7354,201904,201802
1371,201905,201804
476,201806,201806
926,201905,201805
6568,201903,201805
15491,201904,201803
31431,201903,201709
13345,201904,201806
365,201905,201803
7538,201809,201710
1383,201903,201706
7730,201904,201805
7520,201905,201708
15493,201905,201602
13036,201904,201807
33774,201901,201703
34877,201809,201805
1529,201808,201805
8764,201904,201801
802,201905,201611
4251,201904,201806
7003,201905,201805
16630,201807,201707
14660,201905,201805
13307,201904,201706
16747,201905,201804
27496,201904,201802
512,201901,201802
28762,201901,201611
13148,201904,201804
2263,201905,201804
16838,201905,201807
7644,201905,201805
23160,201901,201709
223,201905,201805
14547,201806,201806
16577,201904,201712
11558,201904,201609
7144,201905,201801
22928,201904,201709
9822,201901,201706
7634,201812,201806
1034,201905,201703
17295,201904,201709
19449,201905,201805
3923,201904,201805
16720,201904,201703
9714,201808,201806
15297,201905,201805
828,201904,201709
34661,201904,201805
52,201905,201805
7177,201812,201711
7820,201809,201712
32497,201905,201606
14643,201810,201805
3482,201905,201806
1937,201904,201710
13316,201812,201711
1476,201905,201705
12850,201904,201902
33672,201905,201709
7028,201901,201710
8,201905,201711
1974,201905,201805
1020,201905,201805
7831,201902,201804
2344,201905,201806
2087,201903,201806
765,201903,201806
29700,201905,201805
21187,201904,201806
23178,201810,201805
319,201904,201603
13130,201905,201805
9849,201905,201805
27271,201902,201611
6610,201905,201805
15049,201903,201801
238,201903,201806
12659,201905,201706
34089,201905,201803
6836,201904,201806
19484,201808,201707
15202,201905,201805
1418,201905,201808
11167,201905,201808
7070,201905,201702
25484,201905,201901
29836,201905,201812
2015,201905,201709
6913,201806,201610
33617,201904,201709
2665,201905,201706
29565,201805,201805
16736,201901,201709
474,201809,201601
7187,201904,201805
9649,201809,201805
20010,201904,201607
1740,201905,201804
32163,201904,201808
34939,201903,201709
7115,201905,201802
23036,201905,201803
1984,201905,201804
23198,201904,201706
18055,201901,201805
23309,201905,201612
19175,201903,201805
32136,201809,201601
25803,201905,201709
11368,201904,201702
7065,201905,201711
7534,201905,201806
25870,201903,201902
10664,201904,201710
32716,201902,201805
7665,201905,201804
7049,201905,201804
6920,201903,201605
13388,201904,201810
682,201905,201608
33264,201905,201805
751,201902,201806
